"","country","calorie_X2009","calorie_X2010","calorie_X2011","calorie_X2012","calorie_X2013","sugar_X2009","sugar_X2010","sugar_X2011","sugar_X2012","sugar_X2013"
"146","Switzerland",3470,3450,3490,3380,3390,159,161,160,165,166
"147","Tajikistan",2100,2110,2050,2160,2200,50.3,49.7,51.6,50.6,51.9
"148","Tanzania",2130,2100,2200,2190,2210,26.8,28.6,29.3,29.8,28
"149","Thailand",2730,2760,2760,2780,2780,105,108,111,108,109
"150","Timor-Leste",2040,2080,2110,2150,2130,27.3,27.2,30.9,37.9,35
"151","Togo",2340,2370,2380,2410,2450,27.9,30.5,33.1,33.7,33.3
"152","Trinidad and Tobago",2840,2840,2910,2990,3050,171,157,157,161,162
"153","Tunisia",3340,3330,3360,3390,3350,98.9,95.3,98.3,95.7,95.5
"154","Turkey",3620,3650,3670,3690,3710,88.4,90.5,85.4,86.3,87.3
"155","Turkmenistan",2870,2870,2850,2840,2840,22.1,22.8,25.6,26.6,24.6
"156","Uganda",2190,2200,2180,2160,2130,29.4,28.9,25.9,25.3,32.4
"157","Ukraine",3170,3140,3180,3160,3140,132,129,133,131,126
"158","United Arab Emirates",3170,3160,3210,3230,3280,94.1,107,95.3,98.8,101
"159","United Kingdom",3410,3400,3420,3400,3420,106,100,110,106,113
"160","United States",3650,3650,3650,3690,3680,165,167,172,174,175
"161","Uruguay",2980,2980,3010,3020,3050,104,106,109,111,111
"162","Uzbekistan",2610,2650,2690,2730,2760,28.6,28.3,27.9,27.7,27.6
"163","Vanuatu",2860,2860,2840,2820,2840,54.3,54.7,55.5,49.8,51.4
"164","Venezuela",2860,2810,2800,2690,2630,106,107,108,106,106
"165","Vietnam",2640,2680,2720,2710,2750,26.8,28.7,27.2,29.2,27.4
"166","Yemen",2160,2200,2210,2230,2220,74.7,78.6,81.4,79.8,77.9
"167","Zambia",1880,1900,1910,1920,1930,28.5,28,28.4,30.1,28.1
"168","Zimbabwe",2150,2170,2200,2200,2110,61.1,65.8,68.9,79,80.6
